8 drones, 0.37 m/s, 13.333333333333332 spacing, 3 pattern, 3271.9999999981196 s
8 drones, 0.4 m/s, 10.666666666666666 spacing, 3 pattern, 3156.7999999982244 s
8 drones, 0.4 m/s, 13.333333333333332 spacing, 3 pattern, 3312.499999998083 s
8 drones, 0.43 m/s, 10.666666666666666 spacing, 3 pattern, 3200.199999998185 s
8 drones, 0.43 m/s, 13.333333333333332 spacing, 3 pattern, 3321.6999999980744 s
8 drones, 0.46 m/s, 10.666666666666666 spacing, 3 pattern, 3249.69999999814 s
8 drones, 0.46 m/s, 13.333333333333332 spacing, 3 pattern, 3314.1999999980812 s
8 drones, 0.49 m/s, 10.666666666666666 spacing, 3 pattern, 3290.6999999981026 s
8 drones, 0.49 m/s, 13.333333333333332 spacing, 3 pattern, 3303.0999999980913 s
8 drones, 0.1 m/s, 10.666666666666666 spacing, 1 pattern, 3784.6999999976533 s
8 drones, 0.1 m/s, 13.333333333333332 spacing, 1 pattern, 3675.199999997753 s
8 drones, 0.13 m/s, 10.666666666666666 spacing, 1 pattern, 3427.499999997978 s
8 drones, 0.13 m/s, 13.333333333333332 spacing, 1 pattern, 3420.2999999979847 s
8 drones, 0.16 m/s, 10.666666666666666 spacing, 1 pattern, 3382.9999999980187 s
8 drones, 0.16 m/s, 13.333333333333332 spacing, 1 pattern, 3395.599999998007 s
8 drones, 0.19 m/s, 10.666666666666666 spacing, 1 pattern, 3321.6999999980744 s
8 drones, 0.19 m/s, 13.333333333333332 spacing, 1 pattern, 3389.6999999980126 s
8 drones, 0.22 m/s, 10.666666666666666 spacing, 1 pattern, 3338.9999999980587 s
8 drones, 0.22 m/s, 13.333333333333332 spacing, 1 pattern, 3405.499999997998 s
8 drones, 0.25 m/s, 10.666666666666666 spacing, 1 pattern, 3333.6999999980635 s
8 drones, 0.25 m/s, 13.333333333333332 spacing, 1 pattern, 3380.8999999980206 s
8 drones, 0.28 m/s, 10.666666666666666 spacing, 1 pattern, 3335.0999999980622 s
8 drones, 0.28 m/s, 13.333333333333332 spacing, 1 pattern, 3325.0999999980713 s
8 drones, 0.31 m/s, 10.666666666666666 spacing, 1 pattern, 3342.199999998056 s
8 drones, 0.31 m/s, 13.333333333333332 spacing, 1 pattern, 3207.699999998178 s
8 drones, 0.34 m/s, 10.666666666666666 spacing, 1 pattern, 3284.899999998108 s
8 drones, 0.34 m/s, 13.333333333333332 spacing, 1 pattern, 3206.0999999981796 s
8 drones, 0 m/s, 10.666666666666666 spacing, 0 pattern, 4077.499999997387 s
9 drones, 0 m/s, 10.666666666666666 spacing, 0 pattern, 3695.6999999977343 s
10 drones, 0 m/s, 10.666666666666666 spacing, 0 pattern, 3189.299999998195 s

8 drones, 0.5 m/s, 25.0 spacing, 1 pattern, 4130.199999997494 s
8 drones, 0.2 m/s, 25.0 spacing, 1 pattern, 4004.099999997454 s
8 drones, 0.2 m/s, 25.0 spacing, 3 pattern, 3444.9999999979623 s
8 drones, 0.2 m/s, 20.0 spacing, 1 pattern, 3798.6999999976406 s
8 drones, 0.2 m/s, 20.0 spacing, 3 pattern, 3341.6999999980562 s
8 drones, 0.2 m/s, 16.666666666666668 spacing, 1 pattern, 3680.699999997748 s
8 drones, 0.2 m/s, 16.666666666666668 spacing, 3 pattern, 3403.7999999979997 s
8 drones, 0.2 m/s, 14.285714285714286 spacing, 1 pattern, 3431.199999997975 s
8 drones, 0.2 m/s, 14.285714285714286 spacing, 3 pattern, 3463.999999997945 s
8 drones, 0.2 m/s, 12.5 spacing, 1 pattern, 3366.8999999980333 s
8 drones, 0.2 m/s, 12.5 spacing, 3 pattern, 3743.7999999976905 s
8 drones, 0.2 m/s, 11.11111111111111 spacing, 1 pattern, 3341.4999999980564 s
8 drones, 0.2 m/s, 11.11111111111111 spacing, 3 pattern, 3801.699999997638 s
8 drones, 0.4 m/s, 25.0 spacing, 1 pattern, 4098.89999999738 s
8 drones, 0.4 m/s, 25.0 spacing, 3 pattern, 4145.699999997551 s
8 drones, 0.4 m/s, 20.0 spacing, 1 pattern, 3920.19999999753 s
8 drones, 0.4 m/s, 20.0 spacing, 3 pattern, 3959.2999999974945 s
8 drones, 0.4 m/s, 16.666666666666668 spacing, 1 pattern, 3820.8999999976204 s
8 drones, 0.4 m/s, 16.666666666666668 spacing, 3 pattern, 3826.4999999976153 s

7 drones, 0.2 m/s, 25.0 spacing, 1 pattern, 4515.099999998894 s
7 drones, 0.2 m/s, 25.0 spacing, 3 pattern, 4150.499999997568 s
7 drones, 0.2 m/s, 20.0 spacing, 1 pattern, 4280.0999999980395 s
7 drones, 0.2 m/s, 20.0 spacing, 3 pattern, 3922.699999997528 s
7 drones, 0.2 m/s, 16.666666666666668 spacing, 1 pattern, 4143.699999997543 s
7 drones, 0.2 m/s, 16.666666666666668 spacing, 3 pattern, 3878.9999999975676 s
7 drones, 0.2 m/s, 14.285714285714286 spacing, 1 pattern, 4056.2999999974063 s
7 drones, 0.2 m/s, 14.285714285714286 spacing, 3 pattern, 3980.899999997475 s
7 drones, 0.2 m/s, 12.5 spacing, 1 pattern, 4000.9999999974566 s
7 drones, 0.2 m/s, 12.5 spacing, 3 pattern, 4043.299999997418 s
7 drones, 0.2 m/s, 11.11111111111111 spacing, 1 pattern, 3953.2999999975 s
7 drones, 0.2 m/s, 11.11111111111111 spacing, 3 pattern, 4145.299999997549 s
7 drones, 0.4 m/s, 25.0 spacing, 1 pattern, 4622.899999999287 s
